retweets,likes,Software,Cloud,Work,Humor,Woman,Partnership,Community,Improvement,eps,sentiment,prev_day_change,change_lead
0.02204023096954372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,1
0.0,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,1
0.0,2.1922132585057873e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0
0.000490621579801487,6.576639775517361e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1
0.00011322036456957391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0
0.00015096048609276522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
0.00011322036456957391,3.2883198877586806e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
0.0,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1
0.0006038419443710609,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0
0.0066800015096048606,3.2883198877586806e-05,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0
0.00030192097218553044,5.4805331462644686e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
0.00015096048609276522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
0.0015096048609276522,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1,0
0.016832094199343322,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0,0
7.548024304638261e-05,6.576639775517361e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
0.0008302826735102087,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,1,0
0.0002641808506623391,3.2883198877586806e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
0.0,2.1922132585057873e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0
0.0018870060761595653,2.1922132585057873e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8333333333333333,0,0
0.00018870060761595652,4.3844265170115746e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1
0.001358644374834887,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,1,0
0.004943955919538061,0.00017537706068046299,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0,1
